Reproducibility and Heritability Report
Filename: Z:\rfitak On My Mac\Desktop\MW-ANALYSES\MW-5-9-2014 Reproducibility and Heritability Report.csv
Run date: Tuesday, November 03, 2015 11:29:31 AM,# LOCI = 173662,# DNAs = 96,ProjectName = MW-5-9-2014,GenCall Version = 6.3.0,Low GenCall Score Cutoff = 0.1500
 
Duplicate Reproducibility
Rep1_DNA_Name, Rep2_DNA_Name, # Correct, # Errors, Total, Repro_Freq
5511344026_R06C02,5511344027_R03C02,171001,3,171004,0.99999120
5511344025_R06C01,5511344027_R06C02,171015,7,171022,0.99997960
5500696014_R06C02,5511344026_R01C02,141798,9936,151734,0.96670420
5511344025_R02C01,5511344027_R05C02,171146,12,171158,0.99996500
5511344025_R06C02,5511344027_R04C02,170856,7,170863,0.99997950
5500696004_R03C02,5500696014_R05C02,170350,3,170353,0.99999120
5500696010_R04C01,5511344025_R04C02,160141,178,160319,0.99944470
5500696005_R02C02,5511344027_R01C01,170666,17,170683,0.99995020
 
P-C Heritability
Child_DNA_Name, Parent_DNA_Name, # Correct, # Errors, Total, P-C Heritability Freq
5511344025_R01C01,5511344027_R03C02,170817,22,170839,0.99987120
5511344026_R03C02,5511344029_R04C02,170378,23,170401,0.99986500
5511344026_R03C01,5511344026_R04C01,169642,5,169647,0.99997060
5511344029_R06C02,5500696014_R06C02,153917,184,154101,0.99880600
5500696014_R05C01,5511344026_R03C01,170087,17,170104,0.99990000
5511344027_R03C01,5511344026_R03C01,170801,21,170822,0.99987700
5500696004_R03C02,5511344025_R02C01,168143,2294,170437,0.98654050
5500696014_R05C02,5511344025_R02C01,167905,2296,170201,0.98651000
5500696010_R03C01,5511344026_R03C01,169911,22,169933,0.99987050
5500696014_R02C02,5511344029_R04C02,169135,562,169697,0.99668820
5500696005_R06C01,5511344027_R03C01,170303,42,170345,0.99975340
5511344026_R06C01,5511344027_R06C01,170675,37,170712,0.99978330
5500696014_R04C02,5511344025_R04C02,167901,473,168374,0.99719080
5500696005_R05C01,5511344025_R04C02,168368,314,168682,0.99813850
5500696005_R03C01,5511344025_R05C01,170163,408,170571,0.99760800
5511344027_R01C02,5511344025_R05C01,170580,397,170977,0.99767800
5500696014_R02C01,5511344025_R01C02,170347,15,170362,0.99991200
5500696005_R02C01,5511344027_R06C01,169932,521,170453,0.99694340
5500696014_R01C02,5500696010_R03C01,149734,12,149746,0.99991990
5500696005_R01C01,5511344025_R05C01,161179,3810,164989,0.97690760
5500696010_R05C01,5500696010_R02C02,169797,20,169817,0.99988220
5500696014_R03C02,5500696010_R05C02,169859,12,169871,0.99992940
5500696010_R06C02,5511344027_R03C01,169938,35,169973,0.99979410
5500696005_R03C02,5511344027_R03C01,170453,38,170491,0.99977710
5500696010_R01C01,5500696005_R02C01,170118,17,170135,0.99990010
5511344029_R03C01,5500696014_R04C02,169579,25,169604,0.99985260
5511344029_R04C01,5500696014_R04C02,169457,26,169483,0.99984660
5511344029_R05C01,5500696014_R04C02,153263,201,153464,0.99869020
5511344029_R06C01,5500696014_R04C02,169448,30,169478,0.99982300
5500696005_R02C02,5511344026_R06C01,170270,25,170295,0.99985320
5511344027_R01C01,5511344026_R06C01,170763,25,170788,0.99985360
5500696005_R06C02,5511344026_R06C01,170254,29,170283,0.99982970
5500696014_R06C01,5511344027_R03C01,170131,34,170165,0.99980020
5500696014_R03C01,5500696005_R03C01,169811,446,170257,0.99738040
5500696004_R01C02,5511344026_R06C01,170222,24,170246,0.99985900
5500696014_R04C01,5511344026_R06C01,170069,22,170091,0.99987070
5500696004_R02C02,5511344026_R06C01,165882,12,165894,0.99992760
5500696005_R04C02,5511344027_R03C01,170391,41,170432,0.99975940
5500696004_R05C02,5511344027_R03C01,170377,42,170419,0.99975350
5500696010_R04C02,5500696005_R01C02,169881,28,169909,0.99983520
5511344029_R01C01,5500696005_R03C01,168157,378,168535,0.99775710
5511344029_R02C01,5500696005_R03C01,166012,491,166503,0.99705110
5500696010_R01C02,5500696010_R05C02,169841,15,169856,0.99991170
5500696004_R01C01,5500696010_R05C01,169943,15,169958,0.99991170
 
P-P-C Heritability
Child_DNA_Name, Parent1_DNA_Name, Parent2_DNA_Name, # Correct, # Errors, Total, P-P-C Heritability Freq
5511344025_R04C01,5511344025_R01C01,5511344025_R03C02,170264,383,170647,0.9978
5511344029_R03C02,5511344025_R01C01,5511344025_R03C02,160986,1087,162073,0.9933
5511344027_R02C01,5511344025_R01C01,5511344025_R03C02,166976,580,167556,0.9965
5511344027_R05C01,5511344025_R01C01,5511344025_R03C02,169956,366,170322,0.9979
5511344027_R04C01,5511344025_R05C02,5511344026_R04C01,169232,64,169296,0.9996
5500696010_R04C01,5511344027_R04C01,5511344029_R06C02,147569,188,147757,0.9987
5511344025_R04C02,5511344027_R04C01,5511344029_R06C02,153854,246,154100,0.9984
5511344025_R02C02,5500696010_R03C01,5511344025_R04C01,169671,75,169746,0.9996
5500696005_R04C01,5500696004_R03C02,5500696014_R05C01,165098,4565,169663,0.9731
5500696005_R01C02,5500696014_R02C01,5500696014_R02C02,169525,58,169583,0.9997
5500696004_R04C01,5500696004_R03C02,5500696014_R05C01,165972,3645,169617,0.9785
5500696004_R06C02,5511344025_R01C02,5500696014_R03C02,169547,272,169819,0.9984
5500696005_R05C02,5511344025_R01C02,5500696014_R03C02,169648,236,169884,0.9986
5500696014_R01C01,5500696014_R02C01,5500696005_R05C01,161031,8369,169400,0.9506
5500696004_R04C02,5500696014_R02C01,5500696005_R05C01,141648,5751,147399,0.9610
5500696004_R06C01,5500696014_R02C01,5500696005_R05C01,169490,53,169543,0.9997
5500696004_R05C01,5500696014_R02C01,5500696005_R05C01,169549,45,169594,0.9997
