Index,ID,SSP_NUM,FID,SentrixBarcode_A,SentrixPosition_A,Sample_Plate,Sample_Well,Sample_Group,Gender,Gender2,Replicate,Parent1,Parent2,Parent1,Parent2,Phenotype,N_MISS_Loci,N_GENO,F_MISS,Call_Rate,SIRE,DAM,SEX,BIRTHDATE,DEATHDATE,AGE_DAYS,N_OFFSPRING,N_OFFSPRING_1YR,PERCENT_OFF_1YR,F_PEDIGRAPH,Founder-5,Founder-11,Founder-209,Founder-210,Founder-293,Founder-294,Founder-WILD1,MB,AR,GR,F-Genes,Kinship
1,5500696004_R01C01,1177,WILDMB,5500696004,R01C01,WG0101910-MSA3,A01,WOLF,M,1,0,5500696010_R05C01,0,903,0,-9,1361,172114,0.007908,0.992092,1114,903,M,4/28/09,0,1377,0,0,0,0.292236,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2923,0.1738
2,5500696004_R01C02,1105,WILD,5500696004,R01C02,WG0101910-MSA3,G01,WOLF,F,2,0,5511344026_R06C01,0,667,0,-9,1323,172104,0.007687,0.992313,863,667,F,4/15/07,0,2121,0,0,0,0.1875,0.375,0.1875,0.1641,0.086,0,0,0.1875,0.75,0.2501,0,0.1876,0.1479
3,5500696004_R02C01,1130,0,5500696004,R02C01,WG0101910-MSA3,B01,WOLF,M,1,0,0,0,0,0,-9,1523,172114,0.008849,0.991151,660,749,M,4/15/08,0,1755,0,0,0,0.078125,0.25,0.125,0.1563,0.0938,0.0625,0.1875,0.125,0.5,0.2501,0.25,0.0781,0.1412
4,5500696004_R02C02,1108,WILD,5500696004,R02C02,WG0101910-MSA3,H01,WOLF,F,2,0,5511344026_R06C01,0,667,0,-9,5659,172104,0.03288,0.96712,863,667,F,4/15/07,0,2121,0,0,0,0.1875,0.375,0.1875,0.1641,0.086,0,0,0.1875,0.75,0.2501,0,0.1876,0.1479
5,5500696004_R03C01,1133,0,5500696004,R03C01,WG0101910-MSA3,C01,WOLF,M,1,0,0,0,0,0,-9,1492,172114,0.008669,0.991331,660,749,M,4/15/08,0,1755,0,0,0,0.078125,0.25,0.125,0.1563,0.0938,0.0625,0.1875,0.125,0.5,0.2501,0.25,0.0781,0.1412
6,5500696004_R03C02,547,MB,5500696004,R03C02,WG0101910-MSA3,A02,WOLF,F,2,5500696014_R05C02,5511344025_R02C01,0,72,0,0.75,1294,172104,0.007519,0.992481,72,58,F,5/2/98,1/13/09,3909,20,15,0.75,0.1875,0.5,0.3125,0,0,0,0,0.1875,1,0,0,0.1875,0.1608
7,5500696004_R04C01,886,0,5500696004,R04C01,WG0101910-MSA3,D01,WOLF,F,2,0,5500696014_R05C01,5500696004_R03C02,520,547,-9,1345,172104,0.007815,0.992185,520,547,F,4/24/04,0,3207,0,0,0,0.130859,0.375,0.2344,0,0,0.0625,0.1875,0.1407,0.7501,0,0.25,0.1309,0.157
8,5500696004_R04C02,1053,WILD,5500696004,R04C02,WG0101910-MSA3,B02,WOLF,F,2,0,5500696005_R05C01,5500696014_R02C01,732,797,-9,23498,172104,0.1365,0.8635,732,797,F,5/7/07,2/28/09,663,0,0,0,0.153809,0.4063,0.211,0.0782,0.0469,0.0157,0.0469,0.1954,0.8127,0.1251,0.0626,0.1539,0.1612
9,5500696004_R05C01,1055,WILD,5500696004,R05C01,WG0101910-MSA3,E01,WOLF,F,2,0,5500696005_R05C01,5500696014_R02C01,732,797,-9,1400,172104,0.008135,0.991865,732,797,F,5/7/07,0,2099,0,0,0,0.153809,0.4063,0.211,0.0782,0.0469,0.0157,0.0469,0.1954,0.8127,0.1251,0.0626,0.1539,0.1612
10,5500696004_R05C02,1111,WILD,5500696004,R05C02,WG0101910-MSA3,C02,WOLF,F,2,0,5511344027_R03C01,0,521,0,1,1328,172104,0.007716,0.992284,507,521,F,7/1/06,6/24/08,724,3,3,1,0.123047,0.375,0.2032,0,0,0.0625,0.1875,0.1719,0.7501,0,0.25,0.1231,0.1656
11,5500696004_R06C01,1054,WILD,5500696004,R06C01,WG0101910-MSA3,F01,WOLF,F,2,0,5500696005_R05C01,5500696014_R02C01,732,797,-9,1430,172104,0.008309,0.991691,732,797,F,5/7/07,0,2099,0,0,0,0.153809,0.4063,0.211,0.0782,0.0469,0.0157,0.0469,0.1954,0.8127,0.1251,0.0626,0.1539,0.1612
12,5500696004_R06C02,919,MB,5500696004,R06C02,WG0101910-MSA3,D02,WOLF,M,1,0,5500696014_R03C02,5511344025_R01C02,904,511,-9,1478,172114,0.008587,0.991413,904,511,M,4/15/04,0,3216,0,0,0,0.289062,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2891,0.1705
13,5500696005_R01C01,858,MB,5500696005,R01C01,WG0101910-MSA3,A04,WOLF,F,2,0,5511344025_R05C01,0,194,0,0.6,6710,172104,0.03899,0.96101,194,487,F,4/15/02,0,3947,5,3,0.6,0.28125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2813,0.175
14,5500696005_R01C02,861,0,5500696005,R01C02,WG0101910-MSA3,G04,WOLF,F,2,0,5500696014_R02C02,5500696014_R02C01,574,797,1,1336,172104,0.007763,0.992237,574,797,F,4/5/04,0,3226,2,2,1,0.125,0.375,0.1875,0.1563,0.0938,0,0,0.1875,0.75,0.2501,0,0.125,0.1507
15,5500696005_R02C01,806,0,5500696005,R02C01,WG0101910-MSA3,B04,WOLF,M,1,0,5511344027_R06C01,0,536,0,0.4,1357,172114,0.007884,0.992116,536,685,M,4/25/03,0,3572,5,2,0.4,0.0585938,0.25,0.1407,0.1719,0.0782,0.0625,0.1875,0.1094,0.5001,0.2501,0.25,0.0586,0.1358
16,5500696005_R02C02,1038,WILD,5500696005,R02C02,WG0101910-MSA3,H04,WOLF,M,1,5511344027_R01C01,5511344026_R06C01,0,667,0,1,1446,172114,0.008401,0.991599,512,667,M,4/15/06,0,2486,3,3,1,0.0820312,0.3125,0.1875,0.086,0.0391,0.0625,0.1875,0.125,0.625,0.1251,0.25,0.082,0.1465
17,5500696005_R03C01,795,MB,5500696005,R03C01,WG0101910-MSA3,C04,WOLF,M,1,0,5511344025_R05C01,0,194,0,0.6,1299,172114,0.007547,0.992453,194,487,M,4/15/02,0,3947,5,3,0.6,0.28125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2813,0.1753
18,5500696005_R03C02,992,WILD,5500696005,R03C02,WG0101910-MSA3,A05,WOLF,M,1,0,5511344027_R03C01,0,521,0,0.666666667,1342,172114,0.007797,0.992203,507,521,M,4/15/03,0,3582,3,2,0.666666667,0.123047,0.375,0.2032,0,0,0.0625,0.1875,0.1719,0.7501,0,0.25,0.1231,0.1656
19,5500696005_R04C01,820,0,5500696005,R04C01,WG0101910-MSA3,D04,WOLF,F,2,0,5500696014_R05C01,5500696004_R03C02,520,547,-9,1289,172104,0.00749,0.99251,520,547,F,4/30/03,0,3567,0,0,0,0.130859,0.375,0.2344,0,0,0.0625,0.1875,0.1407,0.7501,0,0.25,0.1309,0.157
20,5500696005_R04C02,1110,WILD,5500696005,R04C02,WG0101910-MSA3,B05,WOLF,F,2,0,5511344027_R03C01,0,521,0,0.833333333,1330,172104,0.007728,0.992272,507,521,F,4/15/06,0,2486,6,5,0.833333333,0.123047,0.375,0.2032,0,0,0.0625,0.1875,0.1719,0.7501,0,0.25,0.1231,0.1659
